company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Rice Fergus Miller,2019-04-09T00:00:00Z,Architecture design & planning,"Real estate, design & building",United States,Washington,Bremerton,Service with Minor Environmental Footprint,50-249,www.rfmarch.com
Céu Azul Marketing e Desenvolvimento Profissional,2022-04-07T00:57:21.184Z,Other education,Education,Brazil,Rio de Janeiro,Rio de Janeiro,Service with Minor Environmental Footprint,0,ceuazul.site
Yvonne & Pierrette,2021-05-18T18:40:07.701Z,Spec design (non-building),Professional & technical services,France,Occitania,Montauban,Service with Minor Environmental Footprint,1-9,www.yvonne-pierrette.com
Systèmes Énergie TST Inc,2023-01-14T18:57:32.534Z,Engineering,Professional & technical services,Canada,Quebec,Rosemère,Service with Minor Environmental Footprint,10-49,tst-inc.ca
Reward,2021-03-05T15:08:16.379Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Greater Manchester,Manchester,Service with Minor Environmental Footprint,0,rewardagency.co.uk
Entidad Patrocinante Unión SpA,2021-12-14T00:19:15.373Z,"Other professional, scientific & tech",Professional & technical services,Chile,Santiago Metropolitan Region,Ñuñoa,Service with Minor Environmental Footprint,1-9,www.unionep.cl
Heden,2022-03-22T09:27:57.3Z,Other personal services,Other services,Portugal,Lisbon,Lisbon,Service with Significant Environmental Footprint,10-49,www.heden.co
Portafolio Verde,2021-05-06T15:09:35.657Z,Environmental consulting,Professional & technical services,Colombia,Antioquia,Medellín,Service with Minor Environmental Footprint,10-49,www.portafolioverde.com
5 & Vine,2021-11-18T14:51:37.716Z,Advertising & market research,Professional & technical services,Canada,Ontario,Toronto,Service with Minor Environmental Footprint,1-9,5andvine.com
Coopman Search & Selection,2021-11-04T16:31:35.165Z,"Other professional, scientific & tech",Professional & technical services,Ireland,Dublin,Dublin,Service with Minor Environmental Footprint,1-9,www.coopman.ie
Oliver Co. London,2022-02-03T00:48:00.107Z,Leather & related products,Retail,United Kingdom,London,London,Wholesale/Retail,0,www.olivercompanylondon.com
"ECOALF RECYCLED FABRICS, SL",2021-12-07T09:21:31.17Z,Apparel,Wholesale,Spain,Madrid,Madrid,Wholesale/Retail,50-249,www.ecoalf.com
Miei Group Pty Ltd,2021-05-17T12:52:50.433Z,General retail via Internet,Retail,Australia,Victoria,Docklands,Wholesale/Retail,1-9,miei.com.au
Brussels Beer Project,2022-05-04T14:29:27.243Z,Beverages,Manufactured Goods,Belgium,Brussels,Brussels,Manufacturing,10-49,www.beerproject.be
Espai Energy,2021-12-14T06:53:39.856Z,Other business support,Administrative & support services,Spain,Catalonia,Barcelona,Service with Minor Environmental Footprint,1-9,espaienergy.com
SafePorter,2022-01-18T15:57:18.727Z,Data processing & hosting,"Information, communication & technology",United States,New Jersey,Princeton,Service with Minor Environmental Footprint,0,www.safeportersecure.com
Imperfect Foods,2021-10-18T20:36:05.769Z,Food products,Retail,United States,California,San Francisco,Wholesale/Retail,1000+,www.imperfectfoods.com
Endeva,2022-04-06T15:57:29.701Z,Management  consultant - for-profits,Professional & technical services,Germany,Berlin,Berlin,Service with Minor Environmental Footprint,1-9,www.endeva.org
BirdsChile,2021-07-30T19:37:05.389Z,Other retail sale,Retail,Chile,Los Lagos Region,Puerto Varas,Wholesale/Retail,1-9,www.birdschile.com
