company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Visceral,2022-08-02T05:29:10.868Z,"Other professional, scientific & tech",Professional & technical services,United States,California,San Diego,Service with Minor Environmental Footprint,1-9,www.thisisvisceral.com
Wieden+Kennedy,2021-04-22T13:20:33.139Z,Advertising & market research,Professional & technical services,Netherlands The,Noord Holland,Amsterdam,Service with Minor Environmental Footprint,50-249,wkams.com
Good Food for Good Inc.,2021-10-25T17:55:45.205Z,Food products,Retail,Canada,Ontario,Toronto,Wholesale/Retail,1-9,www.goodfoodforgood.ca
Brasserie LEOPOLD7,2022-10-17T12:07:03.234Z,Agricultural Processing,"Agriculture, forestry & fishing",Belgium,Liège,Héron,Manufacturing,1-9,www.leopold7.com
TCHO Chocolate,2021-09-22T19:16:38.602Z,Food products,Manufactured Goods,United States,California,Berkeley,Manufacturing,10-49,www.TCHO.com
FRUTICOLA OLMUE S.P.A.,2019-08-27T18:17:06.425Z,Agricultural Processing,"Agriculture, forestry & fishing",Chile,Ñuble Region,Chillan,Agriculture/Growers,250-999,https://olmue.com/
Citizen Wolf Pty Ltd,2020-11-30T17:09:47.597Z,Apparel,Manufactured Goods,Australia,New South Wales,St Peters,Manufacturing,1-9,www.citizenwolf.com
BETTER sp. z o. o.,2022-04-21T01:09:14.3Z,Other personal services,Other services,Poland,Masovian Voivodeship,Warsaw,Service with Minor Environmental Footprint,10-49,b-better.pl/en
Vescor Group and GrowUp Farms,2022-11-09T17:47:53.951Z,Growing non-perennial crops,"Agriculture, forestry & fishing",United Kingdom,Kent,Sandwich,Manufacturing,10-49,www.growupfarms.co.uk
CHLOE,2021-10-11T14:36:21.994Z,Other retail sale,Retail,France,Paris,PARIS,Wholesale/Retail,1000+,www.chloe.com
Social Impact Strategies Group,2023-02-01T22:12:30.345Z,Management  consultant - for-profits,Professional & technical services,United States,Minnesota,St. Paul,Service with Minor Environmental Footprint,1-9,https://www.socialimpactnow.com/
Simplygreen Australia Pty Ltd (Simplygreen Salary Packaging),2020-08-05T02:19:42.518Z,Other business support,Administrative & support services,Australia,Victoria,Cremorne,Service with Minor Environmental Footprint,1-9,simplygreen.com.au
Vanilla Sugar Pty Ltd,2023-01-09T13:32:40.133Z,Personal care products,Wholesale,Australia,Victoria,Port Melbourne,Wholesale/Retail,10-49,www.vanillasugar.com.au
"Great American Aquaculture LLC, dba Ideal Fish",2021-05-14T14:31:59.904Z,Fishing & aquaculture,"Agriculture, forestry & fishing",United States,Connecticut,Waterbury,Manufacturing,10-49,www.idealfish.com
GerminalBio,2021-06-23T09:16:10.8Z,Food products,Manufactured Goods,Italy,TREVISO,Castelfranco Veneto,Manufacturing,50-249,germinal.it
NATURALIA,2021-03-29T17:16:06.261Z,Food products,Retail,France,île de France,clichy,Wholesale/Retail,1000+,www.naturalia.fr
North Sails Apparel SPA Società Benefit,2021-06-29T13:42:13.912Z,Apparel,Retail,Italy,Liguria,Rapallo,Wholesale/Retail,50-249,northsails.com
deep_dive,2021-06-22T19:51:22.517Z,Computer programming services,"Information, communication & technology",Mexico,Miguel Hidalgo,Mexico City,Service with Minor Environmental Footprint,10-49,dive.ai
Eka Ventures,2022-08-26T17:12:07.229Z,Equity investing - Developed Markets,Financial & insurance activities,United Kingdom,City of Westminster,London,Service with Minor Environmental Footprint,1-9,www.ekavc.com
Beco,2022-07-14T11:08:27.079Z,Other retail sale,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.becopets.com
A Lush Affair,2020-05-05T20:16:16.362Z,Event catering & related,Accommodation & food service,Canada,Ontario,Toronto,Service with Significant Environmental Footprint,0,www.alushaffair.com
Modo Sostenible,2021-05-17T20:42:35.22Z,"Other professional, scientific & tech",Professional & technical services,Peru,Lima,Lima,Service with Minor Environmental Footprint,0,www.modosostenible.com
LimeRed,2021-07-29T10:05:17.081Z,Other info service activities,"Information, communication & technology",United States,Illinois,Chicago,Service,1-9,limered.io
Jump Design & Print Ltd,2021-08-31T13:53:31.596Z,Printing & recorded media,Manufactured Goods,United Kingdom,Hertfordshire,Stanstead Abbotts,Manufacturing,10-49,www.jumpdp.com
Malleable Jewellers,2021-06-07T17:31:39.027Z,Jewelry & related articles,Manufactured Goods,Canada,Ontario,Toronto,Manufacturing,1-9,malleablejewellers.ca
Climate Positive Consulting,2021-05-04T18:52:47.616Z,Environmental consulting,Professional & technical services,United States,California,Berkeley,Service with Minor Environmental Footprint,0,www.climatepositiveconsulting.com
Neurônio Ativação de Negócios e Causas,2022-11-22T14:47:59.001Z,Management consultant - nonprofits,Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,0,www.neuronio.com.br
Coutts & Company,2021-07-21T11:39:00.925Z,Deposit bank - Developed Markets,Financial & insurance activities,United Kingdom,London,London,Service with Minor Environmental Footprint,1000+,www.coutts.com
"Sunwealth Power, Inc.",2021-05-25T16:54:51.412Z,Solar panel installation,Energy,United States,Massachusetts,Cambridge,Service with Significant Environmental Footprint,10-49,www.sunwealth.com
Roots for Sustainability (R4S),2020-04-08T20:36:34.247Z,Environmental consulting,Professional & technical services,Spain,Catalonia,Barcelona,Service with Minor Environmental Footprint,1-9,www.r4sgroup.com
Going Green Solutions,2021-09-01T03:25:38.479Z,General stores,Retail,Australia,Victoria,Hurstbridge,Wholesale/Retail,0,www.goinggreensolutions.com.au
Maitri Asset Management,2021-06-29T00:36:01.259Z,Investment advising,Financial & insurance activities,Singapore,South West Community Development Council,Singapore,Service with Minor Environmental Footprint,10-49,www.maitriam.com
Paper On The Rocks,2021-12-08T23:29:37.315Z,Paper & paper products,Retail,Netherlands The,Utrecht,Amersfoort,Wholesale/Retail,1-9,www.paperontherocks.com
Q'omer BioActive Ingredients S.L.,2022-01-31T06:26:46.379Z,Food products,Wholesale,Spain,Valencia,Paterna,Wholesale/Retail,1-9,www.qomer.eu
Catalyser,2021-07-15T12:00:19.882Z,"Other professional, scientific & tech",Professional & technical services,Australia,New South Wales,Sydney,Service with Minor Environmental Footprint,1-9,www.catalyser.com
Carbonext,2022-08-26T17:28:12.387Z,Environmental consulting,Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,10-49,www.carbonext.com.br
Erewhon,2021-06-24T12:44:52.501Z,Food products,Retail,United States,California,Los Angeles,Wholesale/Retail,1000+,www.erewhonmarket.com
Wild + Pine,2021-07-06T14:47:02.759Z,Environmental consulting,Professional & technical services,Canada,Alberta,Edmonton,Service with Minor Environmental Footprint,1-9,www.wildandpine.ca
Good Empire,2022-02-24T06:37:33.896Z,Software publishing and SaaS platforms,"Information, communication & technology",Australia,South Australia,Adelaide,Service with Minor Environmental Footprint,1-9,www.goodempire.org
MACKEY,2017-04-20T00:00:00Z,"Other professional, scientific & tech",Professional & technical services,United States,Kentucky,Bellevue,Service with Minor Environmental Footprint,1-9,www.MackeyAdvisors.com
Platypus Digital,2022-02-28T01:06:39.498Z,Social networks & info sharing,"Information, communication & technology",United Kingdom,London Borough of Southwark,London,Service with Minor Environmental Footprint,1-9,www.platypusdigital.com
Red Stamp Agency Inc.,2023-01-18T09:13:23.334Z,Social networks & info sharing,"Information, communication & technology",Canada,British Columbia,Port Moody,Service with Minor Environmental Footprint,10-49,redstamp.com
Beckett Simonon,2022-11-18T14:04:51.982Z,General retail via Internet,Retail,Colombia,Cundinamarca Department,Bogotá,Wholesale/Retail,10-49,www.beckettsimonon.com
Draw Architecture +urban design and landscape architecture,2021-08-31T01:44:33.992Z,Architecture design & planning,"Real estate, design & building",United States,Missouri,Kansas city,Service with Minor Environmental Footprint,10-49,www.drawarch.com
Veritas Group,2021-07-15T18:09:27.032Z,Engineering,Professional & technical services,Australia,Western Australia,Perth,Service with Minor Environmental Footprint,10-49,www.veritasgroup.com.au
Red Wagon Workplace Solutions,2021-05-19T17:26:43.048Z,Employment placement & HR,Administrative & support services,Australia,South Australia,Prospect,Service with Minor Environmental Footprint,0,www.redwagonsolutions.com.au
Simpson Healthcare,2021-06-29T14:23:13.166Z,"Other professional, scientific & tech",Professional & technical services,United States,Connecticut,Old Lyme,Service with Minor Environmental Footprint,10-49,simpsonhealthcare.com
NuLeaf Naturals,2021-08-09T22:16:47.623Z,Personal care products,Manufactured Goods,United States,Colorado,Denver,Manufacturing,50-249,NULEAFNATURALS.COM
Bull & Wolf,2023-03-27T16:31:07.069Z,"Film, TV & music production","Arts, entertainment & recreation",United Kingdom,Cornwall,Penryn,Service with Minor Environmental Footprint,1-9,bullandwolf.com
NewInc Construtora,2019-08-26T20:07:35.294Z,Construction,Construction,Brazil,Goiás,Goiânia,Manufacturing,10-49,www.newinc.com.br
Two Drifters Distillery,2022-01-05T13:39:56.111Z,Beverages,Manufactured Goods,United Kingdom,Devon,Exeter,Manufacturing,1-9,www.twodriftersrum.com
AliBio,2022-08-14T17:09:55.855Z,Agicultural support/post-harvest,"Agriculture, forestry & fishing",Mexico,Mexico City,CDMX,Manufacturing,10-49,www.alibio.com.mx
Eclosions,2021-12-20T07:11:39.133Z,Management  consultant - for-profits,Professional & technical services,Switzerland,Canton of Valais,Aven,Service with Minor Environmental Footprint,0,www.eclosions.ch
f1 recruitment ltd,2021-12-06T08:39:30.911Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Southwark,London,Service with Minor Environmental Footprint,1-9,www.f1recruitment.com
Bioksan Naturalmente Juntos,2020-12-02T15:43:29.092Z,Food products,Wholesale,Spain,Madrid,Madrid,Wholesale/Retail,50-249,https://www.bioksan.com
McPherson Strategies,2021-10-28T20:48:33.021Z,Advertising & market research,Professional & technical services,United States,New York,Brooklyn,Service with Minor Environmental Footprint,1-9,www.mcpstrategies.com
O My Bag,2021-09-28T09:06:56.567Z,Leather & related products,Wholesale,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,omybag.nl/our-story
Ematris,2022-05-05T01:24:40.609Z,Management  consultant - for-profits,Professional & technical services,Chile,Santiago Metropolitan Region,Santiago,Service with Minor Environmental Footprint,1-9,www.ematris.co
A Better Professional Corporation,2021-10-28T02:47:42.103Z,Legal activities,Professional & technical services,United States,California,San Diego,Service with Minor Environmental Footprint,1-9,www.inbetterwetrust.com
We Made That LLP,2021-08-31T18:51:34.672Z,Architecture design & planning,"Real estate, design & building",United Kingdom,London,London,Service with Minor Environmental Footprint,10-49,www.wemadethat.co.uk
Counting Clouds Cambridgeshire Limited,2021-11-24T04:01:32.17Z,Accounting & auditing,Professional & technical services,United Kingdom,Cambridgeshire,Peterborough,Service with Minor Environmental Footprint,0,www.countingclouds.co.uk
CrushON,2021-12-21T00:19:58.886Z,Web portals,"Information, communication & technology",France,Paris,Paris,Service with Minor Environmental Footprint,1-9,crushonapp.com
P2,2019-08-19T08:30:17.926Z,Management consultant - for-profits,Professional & technical services,Netherlands The,Utrecht,Utrecht,Service with Minor Environmental Footprint,10-49,www.p2.nl
PRACTICE Benefit Corp,2019-11-27T16:38:23.819Z,Other education,Education,United States,New York,New York,Service with Minor Environmental Footprint,10-49,www.practicebc.com
Havas New York,2021-10-25T15:52:25.324Z,Advertising & market research,Professional & technical services,United States,New York,New York,Service with Minor Environmental Footprint,250-999,ny.havas.com
Sharpham Partnership LTD,2022-04-04T05:37:47.126Z,Food products,Manufactured Goods,United Kingdom,Devon,Totnes,Manufacturing,1-9,www.sharphamcheese.co.uk
Respect Group,2022-03-02T22:34:47.341Z,Education & training services,Education,Canada,Alberta,Calgary,Service with Minor Environmental Footprint,10-49,www.respectgroupinc.com
"Troon Pacific, Inc.",2022-07-04T19:16:39.94Z,Real estate development,"Real estate, design & building",United States,California,San Francisco,Service with Significant Environmental Footprint,1-9,www.troonpacific.com
Optimising,2021-10-26T15:03:54.859Z,"Other professional, scientific & tech",Professional & technical services,Australia,Victoria,Richmond,Service with Minor Environmental Footprint,10-49,https://www.optimising.com.au/
"Makeena, Inc.",2020-01-08T17:01:10.343Z,Mobile applications,"Information, communication & technology",United States,Colorado,Boulder,Service with Minor Environmental Footprint,0,makeena.com
guilt free enterprises ltd,2021-12-21T05:13:04.84Z,Food products,Retail,United Kingdom,Oxfordshire,BICESTER,Wholesale/Retail,1-9,nojolondon.co.uk
MYoMY,2021-08-06T11:38:57.781Z,Leather & related products,Wholesale,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,1-9,www.myomy.nl
Marvellous Maps (Squeaky Wheels Ltd),2021-11-03T06:53:14.876Z,Books or other media,Retail,United Kingdom,England,Honiton,Wholesale/Retail,1-9,marvellousmaps.com
Hands Down Agency Limited,2020-12-07T19:41:57.08Z,Advertising & market research,Professional & technical services,United Kingdom,London Borough of Newham,London,Service with Minor Environmental Footprint,1-9,www.handsdown.agency
Kakou Technologies,2019-11-21T14:21:48.787Z,Scientific R&D,Professional & technical services,United Kingdom,Derbyshire,Chesterfield,Service with Minor Environmental Footprint,0,www.kakou-technologies.co.uk
Avenue,2022-02-26T10:33:36.014Z,Advertising & market research,Professional & technical services,United States,Oregon,Portland,Service with Minor Environmental Footprint,1-9,www.avenueagency.com
Fit for Purpose Consultancy Ltd,2021-11-09T14:16:10.142Z,Environmental consulting,Professional & technical services,United Kingdom,Oxfordshire,Abingdon,Service with Minor Environmental Footprint,0,www.fitforpurposeconsulting.com
Cedita,2021-11-15T12:40:21.341Z,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,Manchester,Manchester,Service with Minor Environmental Footprint,1-9,cedita.group
Clearly PR,2021-11-09T14:34:51.357Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Somerset,Bath,Service with Minor Environmental Footprint,10-49,www.clearlypr.co.uk
Mezzanine,2021-09-17T13:10:14.936Z,Other personal services,Other services,Australia,New South Wales,Newcastle West,Service with Minor Environmental Footprint,1-9,www.mezzanine.co
KidGlov,2021-11-05T18:16:45.198Z,Social networks & info sharing,"Information, communication & technology",United States,Nebraska,Lincoln,Service with Minor Environmental Footprint,10-49,KidGlov.com
Agendi Inc.,2022-07-06T18:28:11.654Z,Environmental consulting,Professional & technical services,United States,New York,New York,Service with Minor Environmental Footprint,10-49,www.agendi.co
Serenity Technologies Ltd.,2021-11-10T09:23:34.839Z,Funeral & related services,Other services,United Kingdom,London Borough of Barking and Dagenham,London,Service with Minor Environmental Footprint,1-9,neocremations.co.uk
Faro Energy,2021-11-15T17:09:59.359Z,Solar panel installation,Energy,Brazil,SP,São Paulo,Service with Significant Environmental Footprint,10-49,www.faroenergy.com
"ROSAPARKS, Purpose Branding & Social Impact",2021-11-19T10:01:48.535Z,Management  consultant - for-profits,Professional & technical services,Spain,Barcelona,BARCELONA,Service with Minor Environmental Footprint,1-9,www.rosaparks.es
Palladium Equity Partners,2022-03-15T20:57:04.082Z,Equity investing - Developed Markets,Financial & insurance activities,United States,New York,New York,Service with Minor Environmental Footprint,50-249,www.palladiumequity.com
American Insight,2021-02-04T14:50:29.808Z,Education & training services,Education,Brazil,Rio de Janeiro,Macae,Service with Minor Environmental Footprint,10-49,www.insightamerican.com
The Wren Design,2021-02-22T10:21:53.33Z,Other manufacturing,Manufactured Goods,South Africa,Western Cape,Cape Town,Manufacturing,10-49,www.thewrendesign.com
Bringme Srl Società Benefit,2021-11-26T08:35:34.31Z,Transportation support,Transportation & storage,Italy,Metropolitan City of Turin,Torino,Service with Minor Environmental Footprint,10-49,www.jojobrt.com
Mejores Prácticas,2021-11-10T15:54:02.856Z,Environmental consulting,Professional & technical services,Chile,Santiago Metropolitan Region,Santiago,Service with Minor Environmental Footprint,10-49,www.mejores-practicas.com
Rudolph Care,2021-01-14T16:03:30.337Z,Personal care products,Wholesale,Denmark,Copenhagen,Valby,Wholesale/Retail,10-49,www.rudolphcare.com
Forward Thinking Design,2017-11-30T00:00:00Z,"Other professional, scientific & tech",Professional & technical services,Australia,New South Wales,Quakers Hill,Service with Minor Environmental Footprint,1-9,forwardthinkingdesign.com.au
Careershifters,2021-10-20T13:08:22.403Z,Other education,Education,United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.careershifters.org
Werkliv,2022-10-17T18:12:38.983Z,Real estate development,"Real estate, design & building",Canada,Quebec,Montreal,Service with Minor Environmental Footprint,10-49,werkliv.com/en
LearningLeaders,2020-07-31T03:51:38.792Z,Education & training services,Education,China,Shanghai,Shanghai,Service with Minor Environmental Footprint,10-49,www.learningleaders.cn/en
Sheedo,2020-09-22T17:37:34.798Z,Other retail sale,Retail,Spain,Madrid,MADRID,Wholesale/Retail,1-9,www.sheedo.es
JUST GOLD DIGITAL AGENCY PTY LTD,2021-11-17T05:37:52.121Z,Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Melbourne,Service with Minor Environmental Footprint,1-9,www.justgold.net
Marketing Sustentável,2022-03-02T20:08:15.298Z,Management  consultant - for-profits,Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,0,marketingsustentavel.com.br
127 Energy,2021-09-29T20:46:56.192Z,Solar panel installation,Energy,United States,California,Napa,Service with Minor Environmental Footprint,1-9,www.127energy.com
Human Investing,2020-03-02T04:57:30.169Z,Investment advising,Financial & insurance activities,United States,Oregon,Lake Oswego,Service with Minor Environmental Footprint,10-49,humaninvesting.com
Debuencafé,2021-02-22T15:02:22.107Z,Beverages,Retail,Spain,Madrid,Madrid,Wholesale/Retail,1-9,www.debuencafe.com
WAMI Srl SB,2021-11-30T16:05:15.762Z,Beverages,Wholesale,Italy,Milano,Milano,Wholesale/Retail,1-9,www.wa-mi.org
ZZ Driggs,2021-11-18T14:48:53.257Z,Furniture,Retail,United States,New York,Brooklyn,Wholesale/Retail,1-9,zzdriggs.com
Business West,2021-02-24T21:12:57.001Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Bristol,Bristol,Service with Minor Environmental Footprint,50-249,www.businesswest.co.uk
Ethical Swag Inc.,2020-06-23T18:30:52.362Z,General retail via Internet,Retail,Canada,Nova Scotia,Sydney,Wholesale/Retail,1-9,https://www.ethicalswag.com/
fitppl,2020-11-05T15:10:13.01Z,Food products,Wholesale,United States,Texas,Austin,Wholesale/Retail,0,fitppl.com
UMUNTU,2021-01-05T00:18:29.648Z,"Other professional, scientific & tech",Professional & technical services,Uruguay,MONTEVIDEO,Montevideo,Service with Minor Environmental Footprint,1-9,umuntu.uy
Greener,2021-11-15T00:05:00.448Z,Mobile applications,"Information, communication & technology",Australia,New South Wales,Potts Point,Service with Minor Environmental Footprint,1-9,www.getgreener.com
Ward Williams Associates,2020-06-05T16:37:25.993Z,Architecture design & planning,"Real estate, design & building",United Kingdom,Cornwall,Truro,Service with Minor Environmental Footprint,50-249,wwa.uk.com
ELABORE,2022-08-09T09:58:55.568Z,Food products,Retail,France,Bretagne,Vannes,Wholesale/Retail,1-9,www.kanata.fr
Islandbridge Capital Limited,2021-11-03T08:33:26.32Z,Investment advising,Financial & insurance activities,United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.ib-capital.com
Lean Practice Ltd,2022-01-24T09:02:46.662Z,Management  consultant - for-profits,Professional & technical services,United Kingdom,North Yorkshire,York,Service with Minor Environmental Footprint,0,www.leanpractice.co.uk
Up Norway,2021-11-24T03:47:50.089Z,Travel agency & related,Administrative & support services,Norway,Oslo,Oslo,Service with Minor Environmental Footprint,1-9,upnorway.com
Work for Impact,2021-11-18T02:42:06.08Z,Web portals,"Information, communication & technology",Hong Kong S.A.R.,Sai Kung District,Hong Kong,Service with Minor Environmental Footprint,10-49,www.workforimpact.com
Clear,2021-11-26T12:24:59.961Z,Environmental consulting,Professional & technical services,United Kingdom,City of London,London,Service with Minor Environmental Footprint,0,clear.eco
Profit Impact,2021-11-29T02:46:37.395Z,Management  consultant - for-profits,Professional & technical services,United Kingdom,London Borough of Islington,London,Service with Minor Environmental Footprint,1-9,www.profit-impact.co.uk
Dar Sentido,2020-06-11T18:22:32.742Z,Paper & paper products,Manufactured Goods,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Manufacturing,1-9,www.darsentido.com.ar
"AllCare Health, Inc.",2021-06-17T12:52:42.946Z,Other human health,Human health & social work,United States,Oregon,Grants Pass,Service with Minor Environmental Footprint,50-249,www.allcarehealth.com
Bona Furtuna,2021-11-27T01:12:18.208Z,Food products,Wholesale,United States,Wyoming,Jackson,Wholesale/Retail,1-9,bonafurtuna.com
Brown Bread Ltd,2021-11-08T00:35:53.069Z,Arts & entertainment,"Arts, entertainment & recreation",New Zealand,Canterbury,Christchurch,Service with Minor Environmental Footprint,10-49,www.brownbread.co.nz
Young Folks Digital Pty Ltd,2022-02-10T12:18:16.012Z,Advertising & market research,Professional & technical services,Australia,Victoria,Mornington,Service with Minor Environmental Footprint,1-9,youngfolks.com.au
"Ageto, LLC",2021-11-24T18:48:11.424Z,Other renewable energy installation,Energy,United States,Colorado,Fort Collins,Service with Minor Environmental Footprint,1-9,www.agetoenergy.com
CONQUERYOURDAY SAS,2021-01-08T14:34:13.152Z,Other human health,Human health & social work,France,Paris,Paris,Service with Minor Environmental Footprint,1-9,www.conqueryourday.com
NOVICA,2021-11-05T17:17:51.966Z,Other retail sale,Retail,United States,California,Santa Monica,Wholesale/Retail,50-249,www.NOVICA.com
Evergreen Life,2020-09-08T18:57:08.917Z,Mobile applications,"Information, communication & technology",United Kingdom,Manchester,Manchester,Service with Minor Environmental Footprint,10-49,www.evergreen-life.co.uk
Three Ships,2023-01-02T19:02:40.536Z,Other retail sale,Retail,Canada,Ontario,Toronto,Wholesale/Retail,1-9,www.threeshipsbeauty.com
Atheava Ayurveda,2021-04-05T13:35:52.12Z,Personal care products,Retail,United States,Connecticut,Stamford,Wholesale/Retail,1-9,www.atheava.com
Rizoma Agricultura Regenerativa,2020-04-09T22:24:15.719Z,Mixed Farming,"Agriculture, forestry & fishing",Brazil,São Paulo,São Paulo,Agriculture/Growers,10-49,www.rizoma-agro.com
HAYVN,2021-06-08T18:40:36.849Z,Other business support,Administrative & support services,United States,Connecticut,Darien,Service with Significant Environmental Footprint,1-9,www.hayvn.com
RECIRC,2020-06-18T16:30:56.387Z,Personal care products,Manufactured Goods,United States,,,Manufacturing,0,Recircpackaging.com
Grey Market Labs,2021-11-24T18:49:07.064Z,Software publishing and SaaS platforms,"Information, communication & technology",United States,Virginia,Arlington,Service with Minor Environmental Footprint,10-49,replicacyber.com
Tide Social,2021-03-01T15:33:49.414Z,"Other professional, scientific & tech",Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,1-9,www.tidesocial.com.br
Hawthorne Foods,2023-01-10T04:13:04.233Z,Food products,Manufactured Goods,United States,New York,Hudson,Manufacturing,10-49,hawthornefoods.com
SoLo Funds,2021-11-09T17:17:30.389Z,Mobile applications,"Information, communication & technology",United States,California,Los Angeles,Service with Minor Environmental Footprint,10-49,solofunds.com
Broota SPA,2022-01-26T19:56:49.287Z,Web portals,"Information, communication & technology",Chile,Santiago Metropolitan Region,Santiago,Service with Minor Environmental Footprint,1-9,www.broota.com
ACBC,2021-03-16T14:35:39.592Z,Apparel,Retail,Italy,milano,Milano,Wholesale/Retail,10-49,www.acbc.com
FREY,2021-06-07T20:19:43.139Z,Real estate development,"Real estate, design & building",France,Grand Est,Bezannes,Service with Significant Environmental Footprint,50-249,frey.fr
NXTP Ventures,2018-12-04T00:00:00Z,Equity investing - Emerging Markets,Financial & insurance activities,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service with Minor Environmental Footprint,10-49,www.nxtp.vc
Enviu BV,2021-08-25T20:49:37.446Z,"Other professional, scientific & tech",Professional & technical services,Netherlands The,Zuid-Holland,Rotterdam,Service with Minor Environmental Footprint,10-49,www.enviu.org
"Eldorado Artesian Springs, Inc.",2023-03-14T03:32:07.916Z,Beverages,Manufactured Goods,United States,Colorado,Louisville,Manufacturing,50-249,www.eldoradosprings.com
"Omnidian, Inc.",2022-05-16T14:26:23.83Z,"Other professional, scientific & tech",Professional & technical services,United States,Washington,Seattle,Service with Minor Environmental Footprint,50-249,www.omnidian.com
Green Living Enterprises,2021-09-03T23:12:52.803Z,Other info service activities,"Information, communication & technology",Canada,Ontario,Toronto,Service with Minor Environmental Footprint,1-9,www.GreenLivingEnterprises.ca
Tribe 9 Foods,2021-10-04T17:11:44.734Z,Food products,Manufactured Goods,United States,Wisconsin,Madison,Manufacturing,50-249,tribe9foods.com
Choose a Challenge,2021-06-28T14:07:27.289Z,Other recreation,"Arts, entertainment & recreation",United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.chooseachallenge.com
Lunaria Partners,2022-01-31T07:27:46.426Z,Employment placement & HR,Administrative & support services,United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.lunariapartners.com
Dynamia Associates and Developers,2021-05-06T14:48:36.861Z,Management  consultant - for-profits,Professional & technical services,Mauritius,Moka,St Pierre,Service with Minor Environmental Footprint,1-9,www.dynamia.mu
Limelights,2020-10-01T02:24:31.662Z,Other personal services,Other services,Netherlands The,Noord-Holland,Amsterdam,Service with Minor Environmental Footprint,1-9,limelights.nl
Baby Gourmet Inc.,2022-12-14T22:41:39.223Z,Food products,Wholesale,Canada,Alberta,Calgary,Wholesale/Retail,10-49,babygourmet.com
Todo Works Corp.,2019-12-02T22:00:17.079Z,Medical & dental supplies,Manufactured Goods,South Korea,Gyeonggi Province,Siheung-si,Manufacturing,10-49,www.todo-works.com
Summerdown,2021-11-03T17:49:39.7Z,Mixed Farming,"Agriculture, forestry & fishing",United Kingdom,Hampshire,Basingstoke,Agriculture/Growers,1-9,summerdown.com
Heller Consulting,2022-07-06T23:29:11.206Z,"Other professional, scientific & tech",Professional & technical services,United States,California,Corte Madera,Service with Minor Environmental Footprint,10-49,www.teamheller.com
Stone & Wood Brewing Company,2019-10-01T10:03:05.81Z,Beverages,Manufactured Goods,Australia,New South Wales,Byron Bay,Manufacturing,50-249,stoneandwood.com.au
Standing on Giants,2020-08-26T17:11:36.186Z,Social networks & info sharing,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,London,Service with Minor Environmental Footprint,10-49,www.standingongiants.com
"Agents and Corporations, Inc. (trading as IncNow)",2019-05-29T00:00:00Z,Legal activities,Professional & technical services,United States,Delaware,Wilmington,Service with Minor Environmental Footprint,1-9,www.IncNow.com
Danone Waters China,2021-08-25T08:12:24.574Z,Food products,Manufactured Goods,China,Guangdong,Guangzhou,Manufacturing,1000+,www.danone.com.cn/brands/waters.html
Beyond Green,2021-11-16T09:30:30.948Z,Environmental consulting,Professional & technical services,United Kingdom,Scotland,Edinburgh,Service with Minor Environmental Footprint,1-9,beyond-green.com
Boma Jewelry,2021-07-08T01:03:09.131Z,Other retail sale,Retail,United States,Washington,Seattle,Wholesale/Retail,10-49,www.bomajewelry.com
The Plant Creative Ltd.,2021-11-22T12:33:14.891Z,Spec design (non-building),Professional & technical services,United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.theplant.co.uk
Frankie & Jet PTY LTD,2021-12-13T13:33:59.763Z,Beverages,Wholesale,Australia,Queensland,Ninderry,Wholesale/Retail,1-9,www.littlewildlingco.com
Easthall Farm at St Pauls Walden,2021-12-06T15:55:25.658Z,Mixed Farming,"Agriculture, forestry & fishing",United Kingdom,Hertfordshire,Hitchin,Agriculture/Growers,1-9,www.easthallfarm.com
Owen River Lodge,2022-03-21T07:56:20.76Z,Accommodation,Accommodation & food service,New Zealand,Tasman District,Murchison,Service with Significant Environmental Footprint,1-9,www.owenriverlodge.co.nz
Prospela,2022-01-07T01:14:24.077Z,Management  consultant - for-profits,Professional & technical services,United Kingdom,Surrey,Farnham / London,Service with Minor Environmental Footprint,1-9,www.prospela.com
PlanA.Earth,2022-01-04T13:13:55.519Z,Software publishing and SaaS platforms,"Information, communication & technology",Germany,Berlin,Berlin,Service with Minor Environmental Footprint,10-49,plana.earth
